key,enabled,identity,password,username
user-account-consumer-01,true,"UserIdentity{name: 'Peter', surname: 'Consumer', email: 'peter@acme.com'}",consumer1,consumer1
user-account-consumer-02,true,"UserIdentity{name: 'Mary', surname: '貸んい建濯よ芝弾テソ Λορεμ ιπσθμ', email: 'mary@acme.com'}",consumer2,consumer2
user-account-consumer-03,true,"UserIdentity{name: 'Manolo', surname: '之乎路可良 ᏥᏲᏎᎭ', email: 'manolo@acme.com'}",consumer3,consumer3
user-account-provider-01,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",provider1,provider1
user-account-provider-02,true,"UserIdentity{name: 'Martina', surname: 'коза თხა', email: 'martina@acme.com'}",provider2,provider2
user-account-provider-03,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",provider3,provider3
user-account-technician-01,true,"UserIdentity{name: 'Pelo', surname: 'корова ძროხა', email: 'pelo@acme.com'}",technician1,technician1
user-account-technician-02,true,"UserIdentity{name: 'Pico', surname: 'свинья ღორი', email: 'pico@acme.com'}",technician2,technician2
user-account-technician-03,true,"UserIdentity{name: 'Pata', surname: 'собака ძაღლი', email: 'pata@acme.com'}",technician3,technician3
user-account-customer-01,true,"UserIdentity{name: 'Javier', surname: 'Clavijo', email: 'javclamar@acme.com'}",customer1,customer1
user-account-customer-02,true,"UserIdentity{name: 'Will', surname: 'Smith', email:'will@acme.com'}",customer2,customer2
user-account-customer-03,true,"UserIdentity{name: 'John', surname: 'Doe', email:'jhon@acme.com'}",customer3,customer3
user-account-agent-01,true,"UserIdentity{name: 'Elden', surname: 'თხა Æløzå', email: 'elden@acme.com'}",agent1,agent1
user-account-agent-02,true,"UserIdentity{name: 'Ring', surname: 'თხაძროხა коза', email: 'ring@acme.com'}",agent2,agent2
user-account-agent-03,true,"UserIdentity{name: 'Alberto', surname: 'თხაсобака козаძაღლი', email: 'alberto@acme.com'}",manager3,manager3
user-account-manager-01,true,"UserIdentity{name: 'Lucas', surname: 'თხაძროხა ძაღლი', email: 'lucas@acme.com'}",manager1,manager1
user-account-manager-02,true,"UserIdentity{name: 'Juan', surname: 'собака ძაღლი', email: 'juan@acme.com'}",manager2,manager2
user-account-administrator-02,true,"UserIdentity{name: 'Pepe', surname: 'Admin', email: 'pepeadmin@acme.com'}",administrator1,administrator1
user-account-administrator-03,true,"UserIdentity{name: 'Antonio', surname: 'Admin', email: 'antonioadmin@acme.com'}",administrator2,administrator2
